time_s,potential_v,current_a
0.00,0.00,0.0000000
0.10,0.05,0.0000010
0.20,0.10,0.0000025
0.30,0.15,0.0000045
0.40,0.20,0.0000070
0.50,0.25,0.0000100
0.60,0.30,0.0000140
0.70,0.35,0.0000190
0.80,0.40,0.0000250
0.90,0.45,0.0000310
1.00,0.50,0.0000360
1.10,0.55,0.0000390
1.20,0.60,0.0000400
1.30,0.65,0.0000380
1.40,0.70,0.0000340
1.50,0.75,0.0000290
1.60,0.80,0.0000230
1.70,0.85,0.0000180
1.80,0.90,0.0000130
1.90,0.95,0.0000090
2.00,1.00,0.0000060
2.10,0.95,0.0000030
2.20,0.90,-0.0000010
2.30,0.85,-0.0000050
2.40,0.80,-0.0000090
2.50,0.75,-0.0000130
2.60,0.70,-0.0000170
2.70,0.65,-0.0000210
2.80,0.60,-0.0000250
2.90,0.55,-0.0000280
3.00,0.50,-0.0000300
3.10,0.45,-0.0000310
3.20,0.40,-0.0000300
3.30,0.35,-0.0000280
3.40,0.30,-0.0000250
3.50,0.25,-0.0000210
3.60,0.20,-0.0000160
3.70,0.15,-0.0000110
3.80,0.10,-0.0000070
3.90,0.05,-0.0000030
4.00,0.00,0.0000000
